l_leadid,l_source,l_receivedat,l_firstname,l_lastname,l_phone,l_email,l_consentsms,l_consentcall,l_propertyzip,l_leadtype,l_status,firstresponse_duration,firstresponse_type,sms_last_agent,sms_last_status,call_last_agent,call_last_status
L-20177,AgentMatch Pro,2026-05-08 16:34:00,Laura,Miller,+14112606747,laura.miller91@example.com,TRUE,TRUE,37211,seller,new,10,call,,,AGT-107,no_answer
L-20185,OfferNest,2026-05-09 12:56:00,Robert,Davis,592-291-2678,robert.davis49@example.com,TRUE,TRUE,30318,seller,new,10,call,,,AGT-137,no_answer
L-20152,LeadBridge,2026-05-17 12:01:00,Megan,Young,487-756-1539,megan.young76@example.com,FALSE,TRUE,43215,seller,new,6,call,AGT-111,delivered,AGT-111,no_answer
L-20061,OfferNest,2026-05-06 19:14:00,Lisa,Harris,546.317.8673,lisa.harris51@example.com,FALSE,TRUE,28269,seller,new,8,call,,,AGT-101,no_answer
L-20046,OfferNest,2026-05-06 19:19:00,Michael,Young,4723452169,michael.young37@example.com,TRUE,TRUE,78704,buyer,new,6,call,AGT-126,delivered,AGT-126,completed
L-20045,SellFast Direct,2026-05-11 18:38:00,Sarah,Jackson,+12763601043,,TRUE,TRUE,37211,buyer,new,3,call,AGT-115,delivered,AGT-115,completed
L-20091,SellFast Direct,2026-05-14 19:39:00,Karen,Martinez,324.248.4906,karen.martinez64@example.com,TRUE,TRUE,32801,seller,new,12,call,AGT-133,delivered,AGT-133,no_answer
L-20189,LeadBridge,2026-05-04 12:59:00,Amanda,Perez,808.272.9655,amanda.perez50@example.com,TRUE,TRUE,43215,seller,new,269,call,AGT-112,delivered,AGT-112,completed
L-20148,ListingLoop,2026-05-04 7:34:00,Matt,Lopez,(261) 832-8916,matt.lopez2@example.com,TRUE,TRUE,32801,seller,new,3,call,AGT-107,delivered,AGT-107,completed
L-20198,LeadBridge,2026-05-10 7:14:00,Jessica,Clark,(451) 354-1104,jessica.clark82@example.com,TRUE,TRUE,28269,seller,new,324,call,AGT-125,delivered,AGT-125,no_answer
L-20180,ListingLoop,2026-05-11 17:42:00,Amanda,Hernandez,795.202.2526,amanda.hernandez9@example.com,TRUE,TRUE,43215,seller,new,8,call,,,AGT-114,no_answer
L-20137,SellFast Direct,2026-05-15 6:34:00,Karen,Walker,(203) 974-1372,karen.walker25@example.com,TRUE,TRUE,63101,buyer,new,3,call,AGT-107,delivered,AGT-107,no_answer
L-20069,SellFast Direct,2026-05-13 15:18:00,Eric,Martin,(761) 929-6327,eric.martin13@example.com,TRUE,TRUE,32801,seller,new,8,call,AGT-129,delivered,AGT-129,completed
L-20062,OfferNest,2026-05-14 10:30:00,Megan,Rodriguez,+17985907086,megan.rodriguez72@example.com,TRUE,TRUE,75217,seller,new,12,call,AGT-105,delivered,AGT-105,no_answer
L-20169,AgentMatch Pro,2026-05-06 12:20:00,Greg,White,+12647912667,greg.white15@example.com,TRUE,TRUE,89108,seller,new,8,sms,AGT-139,failed_err30006_landline,,
L-20203,LeadBridge,2026-05-05 14:06:00,Sarah,Smith,(614) 663-5093,sarah.smith18@example.com,TRUE,TRUE,63101,seller,new,342,call,,,AGT-115,completed
L-20026,LeadBridge,2026-05-10 19:37:00,Jessica,Walker,2005115700,jessica.walker57@example.com,TRUE,TRUE,85032,buyer,new,4,call,,,AGT-106,completed
L-20041,OfferNest,2026-05-15 15:48:00,Karen,Brown,9383976169,karen.brown95@example.com,TRUE,TRUE,37211,seller,new,3,call,,,AGT-113,completed
L-20060,HomeFlow,2026-05-15 13:11:00,Nancy,Harris,334.292.5835,nancy.harris47@example.com,TRUE,TRUE,32801,seller,new,4,call,AGT-117,delivered,AGT-117,voicemail
L-20150,ListingLoop,2026-05-05 13:24:00,Karen,White,(431) 507-2320,karen.white61@example.com,TRUE,TRUE,63101,seller,new,10,call,,,AGT-103,completed
L-20197,LeadBridge,2026-05-04 12:12:00,Lisa,Hernandez,288.766.8483,lisa.hernandez39@example.com,TRUE,TRUE,85032,buyer,new,224,call,AGT-138,delivered,AGT-138,voicemail
L-20136,HomeFlow,2026-05-14 18:34:00,Karen,Walker,203-974-1372,karen.walker49@example.com,TRUE,TRUE,85032,buyer,new,11,call,,,AGT-102,completed
L-20121,OfferNest,2026-05-13 10:15:00,John,Jackson,5054305876,john.jackson89@example.com,TRUE,TRUE,28269,buyer,new,,,,,,
L-20015,LeadBridge,2026-05-07 11:13:00,Laura,Jackson,(877) 935-8973,laura.jackson70@example.com,,TRUE,28269,seller,new,2,call,,,AGT-138,no_answer
L-20072,AgentMatch Pro,2026-05-14 18:17:00,Karen,Lewis,+16397741430,karen.lewis98@example.com,TRUE,TRUE,28269,seller,new,2,call,AGT-112,delivered,AGT-112,no_answer
L-20008,SellFast Direct,2026-05-06 14:00:00,Greg,Perez,548.314.5808,greg.perez34@example.com,,TRUE,30318,seller,new,12,call,,,AGT-120,completed
L-20057,SellFast Direct,2026-05-08 17:00:00,Kevin,Jones,437.672.5161,kevin.jones37@example.com,FALSE,TRUE,30318,seller,new,9,call,,,AGT-123,no_answer
L-20153,ListingLoop,2026-05-06 19:44:00,Megan,Allen,+17535397288,megan.allen65@example.com,,TRUE,63101,seller,new,8,call,AGT-115,delivered,AGT-115,no_answer
L-20082,HomeFlow,2026-05-08 13:26:00,Brian,Moore,+18243626962,brian.moore7@example.com,TRUE,TRUE,78704,seller,new,3,call,AGT-136,delivered,AGT-136,no_answer
L-20007,ListingLoop,2026-05-10 16:04:00,Diana,Brown,356.842.3621,diana.brown60@example.com,TRUE,TRUE,37211,seller,new,12,call,AGT-108,delivered,AGT-108,no_answer
L-20047,AgentMatch Pro,2026-05-08 7:05:00,Maria,Allen,642.952.6280,maria.allen74@example.com,TRUE,TRUE,63101,seller,new,11,call,AGT-103,delivered,AGT-103,no_answer
L-20070,ListingLoop,2026-05-08 12:09:00,Rachel,Brown,(520) 637-6120,rachel.brown12@example.com,TRUE,TRUE,78704,buyer,new,3,call,AGT-124,delivered,AGT-124,no_answer
L-20100,OfferNest,2026-05-16 17:54:00,Diana,Williams,(662) 376-8292,diana.williams91@example.com,,TRUE,32801,seller,new,6,call,,,AGT-111,no_answer
L-20083,AgentMatch Pro,2026-05-14 9:58:00,Heather,Lee,3535412335,heather.lee90@example.com,TRUE,TRUE,30318,seller,new,6,call,AGT-136,delivered,AGT-136,no_answer
L-20129,OfferNest,2026-05-07 12:00:00,Heather,Davis,+12064677284,heather.davis43@example.com,TRUE,TRUE,75217,seller,new,6,call,AGT-124,delivered,AGT-124,completed
L-20145,ListingLoop,2026-05-13 2:29:00,Matt,Jackson,864.567.6053,matt.jackson6@example.com,TRUE,TRUE,85032,seller,new,8,call,AGT-137,delivered,AGT-137,completed
L-20089,SellFast Direct,2026-05-04 13:32:00,Karen,Walker,+16615571436,karen.walker11@example.com,TRUE,TRUE,85032,seller,new,7,call,AGT-107,delivered,AGT-107,voicemail
L-20125,OfferNest,2026-05-07 8:00:00,Megan,Clark,3402053587,megan.clark61@example.com,TRUE,TRUE,85032,seller,new,7,call,AGT-119,delivered,AGT-119,no_answer
L-20201,LeadBridge,2026-05-06 8:10:00,David,Jones,9887982785,david.jones41@example.com,TRUE,TRUE,78704,seller,new,327,call,AGT-114,delivered,AGT-114,completed
L-20123,OfferNest,2026-05-14 11:02:00,Lisa,White,280-554-8247,lisa.white28@example.com,TRUE,TRUE,32801,seller,new,,,,,,
L-20092,AgentMatch Pro,2026-05-09 8:33:00,Karen,Martin,626.391.2402,karen.martin65@example.com,TRUE,TRUE,63101,buyer,new,9,call,AGT-103,delivered,AGT-103,completed
L-20183,OfferNest,2026-05-10 17:19:00,John,Williams,580-880-3711,john.williams97@example.com,TRUE,TRUE,43215,seller,new,3,call,,,AGT-101,no_answer
L-20098,AgentMatch Pro,2026-05-06 17:28:00,Eric,Lopez,(570) 592-1530,eric.lopez98@example.com,,TRUE,75217,seller,new,10,call,,,AGT-124,no_answer
L-20005,ListingLoop,2026-05-09 19:49:00,Daniel,Rodriguez,8559044598,daniel.rodriguez41@example.com,TRUE,TRUE,37211,seller,new,5,call,AGT-137,delivered,AGT-137,completed
L-20140,AgentMatch Pro,2026-05-15 13:26:00,Maria,Lopez,858-887-7244,maria.lopez49@example.com,TRUE,TRUE,32801,buyer,new,10,call,AGT-127,delivered,AGT-127,completed
L-20162,SellFast Direct,2026-05-14 14:08:00,Scott,Miller,+16484982133,scott.miller31@example.com,TRUE,TRUE,30318,buyer,new,3,sms,AGT-125,failed_err30006_landline,,
L-20064,HomeFlow,2026-05-04 18:23:00,Eric,Brown,+17018307686,eric.brown31@example.com,TRUE,TRUE,78704,seller,new,10,call,,,AGT-123,completed
L-20135,OfferNest,2026-05-12 13:59:00,Kevin,Williams,2466336644,kevin.williams99@example.com,TRUE,TRUE,28269,buyer,new,4,call,AGT-135,delivered,AGT-135,no_answer
L-20205,LeadBridge,2026-05-11 7:10:00,Tony,Lewis,5393251699,tony.lewis56@example.com,TRUE,TRUE,89108,seller,new,227,call,,,AGT-128,completed
L-20165,LeadBridge,2026-05-09 7:30:00,Matt,Clark,(895) 802-9199,matt.clark54@example.com,TRUE,TRUE,78704,seller,new,6,sms,AGT-123,failed_err30006_landline,,
